mode,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,prev_latent_baseline_cos,initial_noise_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,hidden_cos,run_dir,cond_frames,future_pixel_frames,frame_start,frame_stride,cond_latent_frames,summary_target_latent_idx,latent_shape
A1_causal,0.2,5,0.2 0.098362193 0.044649739 0.018328508 0.0066066377 0.002,4,0.9647329449653625,-0.00010684365406632423,0.031532399356365204,0.681377649307251,0.030607907101511955,0.681532621383667,-0.9341250378638506,-0.9332005456089973,0.788423478603363,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.2,10,0.2 0.14152499 0.098362193 0.067012946 0.044649739 0.029014642 0.018328508 0.011210405 0.0066066377 0.0037287665 0.002,4,0.9647329449653625,-0.004076583310961723,0.01972336880862713,0.6842607259750366,0.018873445689678192,0.6844338178634644,-0.9458594992756844,-0.9450095761567354,0.8104948997497559,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.2,20,0.2 0.16860057 0.14152499 0.11826523 0.098362193 0.081402081 0.067012946 0.054861442 0.044649739 0.036112603 0.029014642 0.023147719 0.018328508 0.014396209 0.011210405 0.0086490561 0.0066066377 0.0049924015 0.0037287665 0.0027498308 0.002,4,0.9647329449653625,-0.000883838627487421,0.02835366129875183,0.6830937266349792,0.027551736682653427,0.6832526922225952,-0.9371812082827091,-0.9363792836666107,0.8177627325057983,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.2,35,0.2 0.18149657 0.16448031 0.14885023 0.13451093 0.12137233 0.10934945 0.098362193 0.088335119 0.079197261 0.070881911 0.063326422 0.056472028 0.050263652 0.044649739 0.039582077 0.035015634 0.030908398 0.027221224 0.023917684 0.020963919 0.018328508 0.015982328 0.013898427 0.012051903 0.01041978 0.0089808983 0.0077158029 0.0066066377 0.0056370462 0.0047920738 0.0040580766 0.0034226328 0.0028744588 0.0024033291 0.002,4,0.9647329449653625,0.0004534174222499132,0.029823919758200645,0.682986319065094,0.02901691198348999,0.6831496953964233,-0.9357160329818726,-0.9349090252071619,0.8187764883041382,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.3,1,0.3 0.002,4,0.9647329449653625,-0.0024897707626223564,0.012443294748663902,0.6858589053153992,0.012252364307641983,0.6859607100486755,-0.9524805806577206,-0.9522896502166986,0.6437935829162598,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.3,3,0.3 0.081133566 0.016226949 0.002,4,0.9647329449653625,-0.0006848545162938535,0.016788657754659653,0.6882282495498657,0.016269240528345108,0.6883646249771118,-0.9484637044370174,-0.9479442872107029,0.7625040411949158,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.3,5,0.3 0.14100742 0.060489028 0.023092868 0.0075584543 0.002,4,0.9647329449653625,0.0018608304671943188,0.02714129537343979,0.6873734593391418,0.02649930864572525,0.6875445246696472,-0.9382336363196373,-0.9375916495919228,0.8128499984741211,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.3,10,0.3 0.20777812 0.14100742 0.093542951 0.060489028 0.037998166 0.023092868 0.013508865 0.0075584543 0.0040125394 0.002,4,0.9647329449653625,-0.0010734174866229296,0.01713569276034832,0.6911278367042542,0.016674473881721497,0.6912513971328735,-0.948058471083641,-0.9475972522050142,0.8302285671234131,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.3,20,0.3 0.25026881 0.20777812 0.17162723 0.14100742 0.1151947 0.093542951 0.07547751 0.060489028 0.04812776 0.037998166 0.029753859 0.023092868 0.017753229 0.013508865 0.010165767 0.0075584543 0.0055467031 0.0040125394 0.0028574778 0.002,4,0.9647329449653625,-0.0017015062039718032,0.017062589526176453,0.6914739012718201,0.016551721841096878,0.691638708114624,-0.9481812231242657,-0.9476703554391861,0.8381751775741577,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.3,35,0.3 0.27063963 0.24377747 0.2192338 0.1968394 0.17643509 0.15787126 0.14100742 0.12571182 0.11186098 0.099339358 0.088038896 0.077858693 0.068704632 0.060489028 0.053130297 0.046552631 0.040685684 0.035464273 0.030828089 0.026721417 0.023092868 0.019895124 0.017084689 0.014621654 0.012469471 0.010594733 0.0089669715 0.0075584543 0.0063439991 0.0053007926 0.0044082197 0.0036477003 0.0030025349 0.0024577582 0.002,4,0.9647329449653625,0.001220104517415166,0.020384056493639946,0.6919083595275879,0.019873376935720444,0.6920809149742126,-0.9448595680296421,-0.9443488884717226,0.8393621444702148,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
