mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,initial_noise_cos,initial_noise_sequence_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,sequence_cos_pred_x0,sequence_mse_pred_x0,sequence_cos_x_final,sequence_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,sequence_cos_x_final_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,20,1 0.811359 0.65408052 0.52369317 0.41625082 0.3282849 0.25675965 0.19903033 0.15280411 0.11610374 0.087233805 0.064749394 0.047427303 0.034239447 0.02432853 0.016985811 0.011630898 0.0077934621 0.005096774 0.0032429792 0.002,1,2,0.8280352354049683,0.8280352354049683,5.629778024740517e-05,5.629778024740517e-05,0.28184348344802856,0.4476693570613861,0.2787749767303467,0.44808197021484375,0.28184348344802856,0.4476693570613861,0.2787749767303467,0.44808197021484375,-0.5492602586746216,-0.5461917519569397,-0.5492602586746216,-0.5461917519569397,0.7759076356887817
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,1,2 0.002,1,2,0.8280352354049683,0.8280352354049683,0.003239942714571953,0.003239942714571953,0.2786148488521576,0.44915249943733215,0.27768051624298096,0.4492425322532654,0.2786148488521576,0.44915249943733215,0.27768051624298096,0.4492425322532654,-0.5503547191619873,-0.5494203865528107,-0.5503547191619873,-0.5494203865528107,0.5041927099227905
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,3,2 0.38721939 0.045149488 0.002,1,2,0.8280352354049683,0.8280352354049683,7.36410147510469e-05,7.36410147510469e-05,0.302568644285202,0.44455140829086304,0.2993834614753723,0.4449576735496521,0.302568644285202,0.44455140829086304,0.2993834614753723,0.4449576735496521,-0.528651773929596,-0.5254665911197662,-0.528651773929596,-0.5254665911197662,0.6231343150138855
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,5,2 0.7825805 0.26474258 0.073391184 0.015237082 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0017278012819588184,-0.0017278012819588184,0.3137328028678894,0.4414913058280945,0.3110206425189972,0.4418776035308838,0.3137328028678894,0.4414913058280945,0.3110206425189972,0.4418776035308838,-0.5170145928859711,-0.5143024325370789,-0.5170145928859711,-0.5143024325370789,0.703522801399231
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,10,2 1.2708733 0.7825805 0.46481215 0.26474258 0.14354265 0.073391184 0.034946133 0.015237082 0.0059406159 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.00019350287038832903,-0.00019350287038832903,0.34153175354003906,0.43440186977386475,0.3390043377876282,0.4347946047782898,0.34153175354003906,0.43440186977386475,0.3390043377876282,0.4347946047782898,-0.4890308976173401,-0.4865034818649292,-0.4890308976173401,-0.4865034818649292,0.76581871509552
A1_causal,3.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,2.0,20,2 1.600149 1.2708733 1.0014712 0.7825805 0.60604875 0.46481215 0.35278252 0.26474258 0.19624894 0.14354265 0.1034668 0.073391184 0.051143357 0.034946133 0.023360972 0.015237082 0.0096658937 0.0059406159 0.0035205698 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0020931093022227287,0.0020931093022227287,0.36676374077796936,0.42794230580329895,0.36418449878692627,0.4283588230609894,0.36676374077796936,0.42794230580329895,0.36418449878692627,0.4283588230609894,-0.463850736618042,-0.4612714946269989,-0.463850736618042,-0.4612714946269989,0.7730801105499268
A1_causal,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,1,0.5 0.002,1,2,0.8280352354049683,0.8280352354049683,0.0022046014200896025,0.0022046014200896025,0.17189571261405945,0.46562445163726807,0.1715017706155777,0.4656798243522644,0.17189571261405945,0.46562445163726807,0.1715017706155777,0.4656798243522644,-0.6565334647893906,-0.6561395227909088,-0.6565334647893906,-0.6561395227909088,0.5341516137123108
A1_causal,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,3,0.5 0.12266964 0.021107669 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.002558615757152438,-0.002558615757152438,0.27604737877845764,0.4553496539592743,0.27049490809440613,0.45588934421539307,0.27604737877845764,0.4553496539592743,0.27049490809440613,0.45588934421539307,-0.5575403273105621,-0.5519878566265106,-0.5575403273105621,-0.5519878566265106,0.6350544095039368
A1_causal,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,5,0.5 0.22269149 0.089224105 0.031149099 0.0090225648 0.002,1,2,0.8280352354049683,0.8280352354049683,-0.0008876469801180065,-0.0008876469801180065,0.2897467613220215,0.45484811067581177,0.2856048345565796,0.45519012212753296,0.2897467613220215,0.45484811067581177,0.2856048345565796,0.45519012212753296,-0.5424304008483887,-0.5382884740829468,-0.5424304008483887,-0.5382884740829468,0.73300701379776
A1_causal,5.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,10,0.5 0.33760387 0.22269149 0.14307905 0.089224105 0.053770554 0.031149099 0.017229734 0.0090225648 0.0044233257 0.002,1,2,0.8280352354049683,0.8280352354049683,-3.069997183047235e-05,-3.069997183047235e-05,0.32039761543273926,0.44979536533355713,0.31582939624786377,0.4502391815185547,0.32039761543273926,0.44979536533355713,0.31582939624786377,0.4502391815185547,-0.5122058391571045,-0.507637619972229,-0.5122058391571045,-0.507637619972229,0.765423059463501
