target,source,layer,horizon,future_step,future_step_1based,split,loss,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,valid_fraction
future_uv,denoise_step=001,8,36.0,8,9,val,0.014645053748729337,0.014645053748729337,0.10380535372873632,0.07884810911653764,22.703301087489113,0.2421602773957136
future_uv,denoise_step=001,8,36.0,8,9,test,0.021528502675563898,0.021528502675563898,0.14375209243771453,0.11807417854142238,33.127288739380134,0.26915113939508395
future_uv,denoise_step=001,8,45.0,10,11,val,0.01556320634479099,0.01556320634479099,0.10643708617637382,0.08272827585399774,23.803168532740365,0.18292682989133774
future_uv,denoise_step=001,8,45.0,10,11,test,0.015396305107305263,0.015396305107305263,0.12355302885082198,0.10064139502512495,27.925656743177964,0.2256728760574175
future_uv,denoise_step=001,12,8.0,1,2,val,0.017914571724702257,0.017914571724702257,0.11780134092639963,0.08963396073114581,25.347129609111295,0.4216027868334009
future_uv,denoise_step=001,12,8.0,1,2,test,0.03410725751756758,0.03410725751756758,0.18078517451049378,0.14717783926991942,41.67367096421141,0.44099379079435674
future_uv,denoise_step=001,12,16.0,3,4,val,0.02103228145360116,0.02103228145360116,0.12444848289473132,0.09492150034742489,26.93266803462331,0.37456446117640374
future_uv,denoise_step=001,12,16.0,3,4,test,0.0323546985800592,0.0323546985800592,0.17862011014057735,0.1475684633227856,41.47675730229411,0.3995859170058746
future_uv,denoise_step=001,12,24.0,5,6,val,0.018395770827911873,0.018395770827911873,0.11786532537031671,0.09131738143723185,25.91334479195731,0.3344947735191638
future_uv,denoise_step=001,12,24.0,5,6,test,0.029384431708796916,0.029384431708796916,0.17110065949259337,0.14132305489193578,39.4836710422429,0.364389237286388
future_uv,denoise_step=001,12,36.0,8,9,val,0.018296725379517268,0.018296725379517268,0.11512217605778564,0.08620668301287429,24.917265436790547,0.2421602773957136
future_uv,denoise_step=001,12,36.0,8,9,test,0.023297893272917217,0.023297893272917217,0.15015671638228137,0.11848848382508533,32.61181319179495,0.26915113939508395
