layer,source,target,test_loss,loss_improvement_vs_raw,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,uv_mae_px_improvement_vs_raw,valid_fraction,horizon,future_step,future_step_1based
16,denoise_step=001,future_uv,0.0407748904395424,-2.4303297165018196,0.0407748904395424,0.1971672389879977,0.1644106634408544,46.38320749097236,-1.0616490131680125,0.4409937907943567,8,1,2
16,raw_no_denoise,future_uv,0.0083781294765695,0.0,0.0083781294765695,0.0908065089342757,0.0701846573154748,19.62397419789316,0.0,0.3995859170058746,16,3,4
16,denoise_step=001,future_uv,0.0315957995166319,-2.7712235893457544,0.0315957995166319,0.1760220799757086,0.1447537223004406,40.95853506210675,-1.087168208084175,0.3995859170058746,16,3,4
16,denoise_step=003,future_uv,0.0320125372798855,-2.820964735554948,0.0320125372798855,0.1764597150171272,0.1467735169775491,41.4267114042989,-1.111025574460167,0.3995859170058746,16,3,4
16,denoise_step=005,future_uv,0.0325273945040646,-2.882417262114601,0.0325273945040646,0.17693809788543,0.1460471102046176,41.03882965340624,-1.0912598660984885,0.3995859170058746,16,3,4
16,denoise_step=007,future_uv,0.0398988126821461,-3.76225782780371,0.0398988126821461,0.1946659471307482,0.1590432668447988,44.83058027500445,-1.2844801885143882,0.3995859170058746,16,3,4
16,raw_no_denoise,future_uv,0.0067936960871931,0.0,0.0067936960871931,0.0817526880320061,0.0614212590961969,17.069040460369354,0.0,0.364389237286388,24,5,6
16,denoise_step=007,future_uv,0.0304238927043496,-3.4782534152068036,0.0304238927043496,0.1731536708324839,0.1433265797531629,40.01001882454376,-1.3440110132399314,0.364389237286388,24,5,6
16,denoise_step=001,future_uv,0.0310160906302817,-3.5654221549225036,0.0310160906302817,0.1752395526531073,0.1479517599070294,40.82911012384956,-1.3919979695780782,0.364389237286388,24,5,6
16,denoise_step=003,future_uv,0.0312301597208957,-3.596932114724436,0.0312301597208957,0.175987902296009,0.149533328432474,41.50799306233724,-1.4317707347820685,0.364389237286388,24,5,6
16,denoise_step=005,future_uv,0.0335691001027143,-3.941213099890635,0.0335691001027143,0.1819523753401655,0.1518096122003737,42.36231594993954,-1.481821754907415,0.364389237286388,24,5,6
16,raw_no_denoise,future_uv,0.0051872050784929,0.0,0.0051872050784929,0.0708011176676236,0.0508074378035576,14.253610478671687,0.0,0.2691511393950839,36,8,9
16,denoise_step=005,future_uv,0.0246060866839397,-3.743611696780802,0.0246060866839397,0.1559459577250924,0.1294585292075238,35.612676387494645,-1.498502147282857,0.2691511393950839,36,8,9
16,denoise_step=007,future_uv,0.0259082781740967,-3.9946508345153258,0.0259082781740967,0.1600307905217382,0.1297860778945326,36.10403053804954,-1.5329744061740436,0.2691511393950839,36,8,9
16,denoise_step=001,future_uv,0.0274664306739349,-4.295034658995022,0.0274664306739349,0.1647203526079778,0.1363878266164728,38.2229063614555,-1.6816297820576855,0.2691511393950839,36,8,9
16,denoise_step=003,future_uv,0.0282128875068626,-4.438938133338585,0.0282128875068626,0.1670118214304156,0.1379245370626449,38.38235476791982,-1.6928163096187487,0.2691511393950839,36,8,9
16,raw_no_denoise,future_uv,0.0045214903215042,0.0,0.0045214903215042,0.0655193657269142,0.0543984036051955,15.383420039901576,0.0,0.2256728760574175,45,10,11
16,denoise_step=007,future_uv,0.0196625425000183,-3.3486861857258168,0.0196625425000183,0.1396636203023958,0.1139701187271262,31.116083172784336,-1.0227025649741939,0.2256728760574175,45,10,11
16,denoise_step=003,future_uv,0.0212748981858015,-3.7052844688438498,0.0212748981858015,0.1447325789101622,0.1187996745541475,32.52675206123178,-1.1144031676222688,0.2256728760574175,45,10,11
16,denoise_step=001,future_uv,0.0249061762484457,-4.5083997703128915,0.0249061762484457,0.1547116002310877,0.1340983704380367,37.10217379931338,-1.4118286897892414,0.2256728760574175,45,10,11
16,denoise_step=005,future_uv,0.0261078712300977,-4.774173861642191,0.0261078712300977,0.1600285042578636,0.1340850675266475,36.85435722777562,-1.3957193609862204,0.2256728760574175,45,10,11
20,raw_no_denoise,future_uv,0.0149847930181563,0.0,0.0149847930181563,0.1205198059232585,0.0870551876646638,24.226054090890827,0.0,0.4409937907943567,8,1,2
