target,source,layer,split,loss,xyz_rmse_m,uv_mae_norm,depth_mae_m,velocity_mae_m_per_frame,contact_acc,success_acc,time_to_contact_acc,time_to_contact_mae_bucket
future,denoise_tau=0.750,27,val,0.944606982744657,0.11704301511074279,0.10592685973310804,0.061685250147239315,0.030341927326850957,0.7360139981016413,0.9419580606313852,0.6363636417822405,1.3111888203587565
future,denoise_tau=0.750,27,test,0.8923614223798116,0.1329029401143392,0.10015351176261902,0.06865228712558746,0.029606433088580766,0.7475000341733297,0.9412500143051148,0.6520833412806193,1.2395833492279054
current,denoise_tau=0.750,27,val,0.31840319108296106,0.11162878281169838,0.10895843861194757,0.053279887285682705,,0.7307692316028621,0.9947552447552448,,
current,denoise_tau=0.750,27,test,0.32201472520828245,0.11459250251452129,0.10594228108723959,0.06633254985014597,,0.6958333412806194,0.9916666666666667,,
future,denoise_tau=0.600,6,val,0.9021843079920415,0.13333043331032865,0.1388490556420146,0.06483082611348245,0.03394178853376762,0.7604895225771657,0.9419580606313852,0.6555944097625626,1.201048963553422
future,denoise_tau=0.600,6,test,0.99761483669281,0.1241609384616216,0.09915557305018106,0.06590272883574168,0.03486319134632746,0.7195833683013916,0.9412500143051148,0.6270833333333333,1.3583333412806193
current,denoise_tau=0.600,6,val,0.3108499343995448,0.1286889095823248,0.1183374306330314,0.06654641962238958,,0.7325174837679296,0.9947552447552448,,
current,denoise_tau=0.600,6,test,0.3416972120602926,0.11832451124986013,0.1004353016614914,0.07145973642667135,,0.7666666746139527,0.9916666666666667,,
future,denoise_tau=0.600,14,val,0.8991217588211273,0.11903399176947721,0.11018770756004574,0.05745323705714899,0.025973175763041822,0.7541958089475032,0.9416084156169758,0.6451048959385265,1.2202797336178226
future,denoise_tau=0.600,14,test,0.9437292655309041,0.11226439078648885,0.10101366291443507,0.06172984143098195,0.026030717169245085,0.7741666913032532,0.9412500143051148,0.6729166666666667,1.1270833492279053
current,denoise_tau=0.600,14,val,0.29535882018662835,0.10886434126983989,0.1104718069513361,0.04748572611048088,,0.7727272781458768,0.9947552447552448,,
current,denoise_tau=0.600,14,test,0.3128747125466665,0.1013299584388733,0.09180519133806228,0.06009144783020019,,0.7583333412806194,0.9916666666666667,,
future,denoise_tau=0.600,27,val,0.9662317429389153,0.12250981828966341,0.11162468447135045,0.067549929022789,0.03305029340244673,0.7335664492387038,0.9419580606313852,0.6241258807949253,1.3688811280510642
future,denoise_tau=0.600,27,test,0.9871780872344971,0.12638911803563435,0.09959640055894851,0.06316737830638885,0.034099735567967096,0.7279166777928671,0.9412500143051148,0.65,1.268750007947286
current,denoise_tau=0.600,27,val,0.3218756251401835,0.10460719971598445,0.1033889915976491,0.05408605055271329,,0.7307692357710192,0.9947552447552448,,
current,denoise_tau=0.600,27,test,0.3596564610799154,0.12049886484940847,0.1094382772843043,0.04877923627694448,,0.7020833373069764,0.9916666666666667,,
future,denoise_tau=0.450,6,val,0.9013466826685659,0.12291003263496852,0.13278588683871956,0.06900430981304262,0.033783782403785864,0.7482517607562191,0.9419580606313852,0.6311188869543009,1.3496503538185067
future,denoise_tau=0.450,6,test,0.9558138449986776,0.12490368882815044,0.09775764793157578,0.06896162231763205,0.03456877892216047,0.7312500198682149,0.9412500143051148,0.625000003973643,1.437500007947286
current,denoise_tau=0.450,6,val,0.2992926304573779,0.11858854536618386,0.1157726140080632,0.08011005011263427,,0.7552447564952023,0.9947552447552448,,
current,denoise_tau=0.450,6,test,0.3302499334017436,0.1151036520799001,0.10971647699673971,0.09724750568469366,,0.7458333333333333,0.9916666666666667,,
future,denoise_tau=0.450,14,val,0.9395814075336589,0.11685088276863098,0.11898481085167065,0.06240379703524229,0.025686977626560453,0.70734268343532,0.9416084156169758,0.5874125932480072,1.5576923135277274
